timestamp,date,time,year,month,week,day,day_of_week,hour,device_id,temperature,humidity,alert,predicted_alert,prediction_probability,alert_match,risk_score,predicted_alert_encoded
1970-01-01 00:00:01.776782111,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782113,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782116,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782118,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782120,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782123,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782125,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782127,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,18,0,0,0.0,1,21.6,0
1970-01-01 00:00:01.776782129,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,18,0,0,0.0,1,21.6,0
1970-01-01 00:00:01.776782132,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782134,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,19,0,0,0.0,1,22.0,0
1970-01-01 00:00:01.776782136,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,20,0,0,0.0,1,22.4,0
1970-01-01 00:00:01.776782139,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,21,0,0,0.0,1,22.8,0
1970-01-01 00:00:01.776782141,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,21,0,0,0.0,1,22.8,0
1970-01-01 00:00:01.776782143,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,21,0,0,0.0,1,22.8,0
1970-01-01 00:00:01.776782145,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,24,21,0,0,0.0,1,22.8,0
1970-01-01 00:00:01.776782148,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,25,79,0,0,0.0,1,46.6,0
1970-01-01 00:00:01.776782150,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782152,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782155,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782157,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782159,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,28,95,1,1,1.0,1,54.8,1
1970-01-01 00:00:01.776782161,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,28,95,1,1,1.0,1,54.8,1
1970-01-01 00:00:01.776782164,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,29,95,1,1,1.0,1,55.4,1
1970-01-01 00:00:01.776782166,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,29,95,1,1,1.0,1,55.4,1
1970-01-01 00:00:01.776782168,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782170,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782173,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782175,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782177,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782180,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,30,95,1,1,1.0,1,56.0,1
1970-01-01 00:00:01.776782182,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,29,95,1,1,1.0,1,55.4,1
1970-01-01 00:00:01.776782184,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,29,95,1,1,1.0,1,55.4,1
1970-01-01 00:00:01.776782186,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,29,95,1,1,1.0,1,55.4,1
1970-01-01 00:00:01.776782189,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,28,95,1,1,1.0,1,54.8,1
1970-01-01 00:00:01.776782191,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,28,95,1,1,1.0,1,54.8,1
1970-01-01 00:00:01.776782193,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,28,95,1,1,1.0,1,54.8,1
1970-01-01 00:00:01.776782196,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782198,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782200,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782202,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,27,95,1,1,1.0,1,54.2,1
1970-01-01 00:00:01.776782205,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782207,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782209,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782212,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
1970-01-01 00:00:01.776782214,1970-01-01,00:00:01,1970,1,1,1,3,0,sensor_1,26,95,1,1,1.0,1,53.6,1
